CODI_ESTACIO;NOM_ESTACIO;LATITUD;LONGITUD;Georeferència;EMPLACAMENT;ALTITUD;NOM_MUNICIPI;NOM_COMARCA;CODI_ESTAT;NOM_ESTAT;DATA_ALTA
WC;Golmés;4.163.642;0.92446;POINT (0.92446 41.63642);Partida Fogones;261;Golmés;Pla d'Urgell;2;Operativa;08/08/2000 0:00
XI;Mollerussa;4.161.817;0.87182;POINT (0.87182 41.61817);-;247;Mollerussa;Pla d'Urgell;2;Operativa;01/20/2010 12:00:00 AM
DJ;Banyoles;4.211.653;278.969;POINT (2.78969 42.11653);Abocador comarcal de Puigpalter;176;Banyoles;Pla de l'Estany;2;Operativa;10/11/1999 0:00
YG;Tírvia;4.251.881;124.244;POINT (1.24244 42.51881);Heliport de Tírvia;954;Tírvia;Pallars Sobirà;2;Operativa;01/11/2018 0:00
XH;Sort;4.240.533;112.993;POINT (1.12993 42.40533);Escola de Piragüisme;679;Sort;Pallars Sobirà;2;Operativa;07/31/2009 12:00:00 AM
Z7;Espot (2.519 m);4.253.412;105.476;POINT (1.05476 42.53412);Espot;2519;Espot;Pallars Sobirà;2;Operativa;03/01/2002 0:00
ZB;Salòria (2.451 m);4.251.939;136.597;POINT (1.36597 42.51939);Salòria;2451;Alins;Pallars Sobirà;2;Operativa;09/30/2004 12:00:00 AM
Z5;Certascan (2.400 m);4.270.029;127.201;POINT (1.27201 42.70029);Certascan;2400;Lladorre;Pallars Sobirà;2;Operativa;11/11/2000 0:00
Z1;Bonaigua (2.266 m);4.264.691;0.98486;POINT (0.98486 42.64691);Port de la Bonaigua;2266;Alt Àneu;Pallars Sobirà;2;Operativa;11/06/1997 0:00
WQ;Montsec d'Ares (1.572 m);420.513;0.72952;POINT (0.72952 42.0513);Serra de la Corona - Centre d'Observació de l'Univers;1572;Sant Esteve de la Sarga;Pallars Jussà;2;Operativa;06/17/2003 12:00:00 AM
XQ;Tremp;4.216.252;0.88814;POINT (0.88814 42.16252);Conillera de Joncar;473;Tremp;Pallars Jussà;2;Operativa;10/22/2012 12:00:00 AM
CP;Sant Romà d'Abella;4.213.924;103.893;POINT (1.03893 42.13924);Sant Romà d'Abella - el Tossal;690;Isona i Conca Dellà;Pallars Jussà;2;Operativa;05/20/1996 12:00:00 AM
YC;la Pobla de Segur;4.224.388;0.96802;POINT (0.96802 42.24388);Horta de les Feixes;508;La Pobla de Segur;Pallars Jussà;2;Operativa;11/18/2016 12:00:00 AM
CV;la Pobla de Segur - Bombers;4.223.939;0.96434;POINT (0.96434 42.23939);Parc de Bombers;513.3;La Pobla de Segur;Pallars Jussà;1;Desmantellada;12/22/1995 12:00:00 AM
WS;Viladrau;4.184.008;241.877;POINT (2.41877 41.84008);Mas Vilarmau;953;Viladrau;Osona;2;Operativa;03/17/2005 12:00:00 AM
CX;Vic - 1;4.193.582;223.857;POINT (2.23857 41.93582);Estadi d'atletisme;497.8;Vic;Osona;1;Desmantellada;01/18/1996 12:00:00 AM
V5;Perafita;4.203.947;211.993;POINT (2.11993 42.03947);Finca la Tria;774;Perafita;Osona;2;Operativa;07/03/1995 0:00
KE;Pantà de Sau;4.196.867;241.404;POINT (2.41404 41.96867);Central hidroelèctrica de Sau;426;Vilanova de Sau;Osona;2;Operativa;01/05/1996 0:00
XO;Vic;4.193.497;223.987;POINT (2.23987 41.93497);Vic;499;Vic;Osona;2;Operativa;12/22/2011 12:00:00 AM
V4;Montesquiu;4.211.477;221.483;POINT (2.21483 42.11477);Castell de Montesquiu;684;Montesquiu;Osona;2;Operativa;12/02/1998 0:00
CC;Orís;4.207.398;220.862;POINT (2.20862 42.07398);Abocador comarcal;626;Orís;Osona;2;Operativa;11/15/1995 12:00:00 AM
V7;Embassament de Sau;4.197.554;239.837;POINT (2.39837 41.97554);Embassament de Sau. Club Nàutic.;435;Vilanova de Sau;Osona;1;Desmantellada;05/20/1997 12:00:00 AM
V3;Gurb;4.195.224;223.271;POINT (2.23271 41.95224);Masia Can Borra;509;Gurb;Osona;2;Operativa;03/31/1999 12:00:00 AM
CY;Muntanyola;4.187.813;217.873;POINT (2.17873 41.87813);Esglèsia de St. Quirze i Sta. Julita;816;Muntanyola;Osona;2;Operativa;01/12/1996 0:00
V6;Viladrau - Aigües de Viladrau;4.184.256;242.636;POINT (2.42636 41.84256);Camí vell de Viladrau, s/n;871;Viladrau;Osona;1;Desmantellada;10/03/1995 0:00
CS;Viladrau - centre;4.184.502;23.881;POINT (2.3881 41.84502);Mas del Torrent;777;Viladrau;Osona;1;Desmantellada;12/05/1995 0:00
WG;Algerri;4.180.104;0.64804;POINT (0.64804 41.80104);Comunitat de regants d'Algerri, ctra. d'Albesa, s/n;301;Algerri;Noguera;2;Operativa;12/13/2000 12:00:00 AM
V1;Vallfogona de Balaguer;4.178.487;0.82939;POINT (0.82939 41.78487);Escola de Cap. Agrària - Finca l'Empalme;238;Vallfogona de Balaguer;Noguera;2;Operativa;10/17/1990 12:00:00 AM
WX;Camarasa;419.178;0.88175;POINT (0.88175 41.9178);Camarasa;668;Camarasa;Noguera;2;Operativa;03/07/2006 0:00
WB;Albesa;4.176.036;0.67022;POINT (0.67022 41.76036);Partida l'Eral, camí del Torricó;267;Albesa;Noguera;2;Operativa;06/21/1999 12:00:00 AM
