,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
2118,2015-11-10,,13.0,88.0,71.0,183.0,,27.0,21.0,6.0,,4.966666666666667,21.75,37.291666666666664,70.16666666666667,,19.583333333333332,15.5,1.5
2119,2015-11-11,,8.7,60.0,75.0,167.0,,34.0,25.0,4.0,,2.725,15.583333333333334,36.75,60.166666666666664,,19.5,15.5,1.125
2120,2015-11-12,,4.5,47.0,54.0,111.0,,53.0,50.0,7.0,,1.5,10.666666666666666,33.75,49.583333333333336,,30.08695652173913,26.73913043478261,1.8333333333333333
2121,2015-11-13,,1.7,51.0,42.0,118.0,,38.0,31.0,2.0,,1.1583333333333334,11.25,29.583333333333332,46.458333333333336,,25.958333333333332,22.333333333333332,1.125
2122,2015-11-14,,9.4,22.0,47.0,80.0,,24.0,20.0,10.0,,3.8125,7.791666666666667,26.0,37.541666666666664,,16.708333333333332,13.791666666666666,4.208333333333333
2123,2015-11-15,,10.2,35.0,56.0,102.0,,33.0,18.0,12.0,,4.529166666666667,8.666666666666666,27.833333333333332,40.958333333333336,,15.166666666666666,11.583333333333334,5.666666666666667
2124,2015-11-16,,13.4,61.0,60.0,127.0,,37.0,20.0,17.0,,2.7291666666666665,22.958333333333332,32.958333333333336,67.79166666666667,,17.791666666666668,10.708333333333334,5.583333333333333
2125,2015-11-17,,21.1,61.0,50.0,141.0,,38.0,18.0,36.0,,3.779166666666667,24.708333333333332,35.208333333333336,72.625,,19.625,12.875,9.5
2126,2015-11-18,,9.2,92.0,81.0,200.0,,55.0,30.0,23.0,,1.4166666666666667,26.875,37.791666666666664,78.5,,25.75,18.333333333333332,6.625
2127,2015-11-19,,3.1,67.0,73.0,145.0,,47.0,27.0,17.0,,1.2166666666666668,19.541666666666668,42.5,71.875,,28.083333333333332,19.541666666666668,6.375
2128,2015-11-20,,1.0,103.0,56.0,213.0,,55.0,20.0,6.0,,1.0,13.458333333333334,23.583333333333332,43.583333333333336,,30.375,13.958333333333334,3.2916666666666665
2129,2015-11-21,,1.0,2.0,7.0,8.0,,75.0,25.0,5.0,,1.0,1.0416666666666667,4.583333333333333,5.208333333333333,,42.25,11.375,3.2916666666666665
2130,2015-11-22,,1.0,4.0,40.0,46.0,,17.0,7.0,6.0,,1.0,1.625,10.583333333333334,12.708333333333334,,5.708333333333333,2.8333333333333335,4.458333333333333
2131,2015-11-23,,1.0,26.0,44.0,84.0,,20.0,7.0,8.0,,1.0,6.166666666666667,23.333333333333332,32.25,,11.0,4.5,4.458333333333333
2132,2015-11-24,,1.0,64.0,80.0,178.0,,47.0,22.0,8.0,,1.0,14.166666666666666,34.458333333333336,55.666666666666664,,18.166666666666668,8.708333333333334,4.75
2133,2015-11-25,,1.0,13.0,49.0,68.0,,41.0,14.0,5.0,,1.0,2.5,11.333333333333334,14.291666666666666,,14.041666666666666,4.041666666666667,3.375
2134,2015-11-26,,1.0,6.0,20.0,22.0,7.0,40.0,12.0,6.0,,1.0,1.7083333333333333,8.541666666666666,10.5,4.6,21.545454545454547,6.409090909090909,3.3333333333333335
